,Date,Open,High,Low,Close,Adj Close,Volume,ATR (7 Days),RSI (7 Days),RSI (14 Days),EMA (50 Days),EMA (100 Days),SMA (50 Days),SMA (100 Days),Log Return,Percent Return,Cumulative Log Return,Cumulative Percent Return
0,2014-01-02,9.986666679382324,10.165332794189453,9.770000457763672,10.006667137145996,10.006667137145996,92826000,0.0,100.0,100.0,10.006667137145996,10.006667137145996,10.006667137145996,10.006667137145996,,,,
1,2014-01-03,10.0,10.145999908447266,9.90666675567627,9.970666885375977,9.970666885375977,70425000,0.0,0.0,0.0,10.005255362566778,10.005954260873322,9.988667011260986,9.988667011260986,-0.003604113611816534,-0.003597626590014391,-0.003604113611816534,-0.003597626590014391
2,2014-01-06,10.0,10.026666641235352,9.682666778564453,9.800000190734863,9.800000190734863,80416500,0.0,0.0,0.0,9.997206140141998,10.001875962454738,9.925778071085611,9.925778071085611,-0.017265065802709954,-0.017116878600310192,-0.020869179414526488,-0.020714505190324584
3,2014-01-07,9.841333389282227,10.026666641235352,9.683333396911621,9.957332611083984,9.957332611083984,75511500,0.0,47.66676653537105,45.36040649868755,9.9956424723358,10.00099391589294,9.933666706085205,9.933666706085205,0.015926820457572245,0.01605432829459197,-0.004942358956954242,-0.004660176895732615
4,2014-01-08,9.923333168029785,10.24666690826416,9.917332649230957,10.085332870483398,10.085332870483398,92448000,0.0,63.96859465243108,60.899778535215134,9.999159742851393,10.002663994201662,9.963999938964843,9.963999938964843,0.012772951757781427,0.012854874332201227,0.007830592800827185,0.008194697436468612
5,2014-01-09,10.166666984558105,10.228667259216309,9.789999961853027,9.835332870483398,9.835332870483398,80730000,0.0,37.412957357722505,38.10544545765631,9.992735159621276,9.99935050660328,9.94255542755127,9.94255542755127,-0.02510088058726987,-0.024788472845717502,-0.017270287786442684,-0.01659377540924889
6,2014-01-10,9.897333145141602,9.926667213439941,9.483332633972168,9.714667320251465,9.714667320251465,111691500,0.36190496172223774,30.324210075270997,31.89931971722089,9.981830538469518,9.993713215784432,9.909999983651298,9.909999983651298,-0.01234445845105059,-0.012268578178381784,-0.029614746237493272,-0.028862353587630674
7,2014-01-13,9.718667030334473,9.800000190734863,9.187999725341797,9.28933334350586,9.28933334350586,94741500,0.39763289081807035,17.043869309269823,19.712217177628276,9.954673785725847,9.979765099501687,9.832416653633118,9.832416653633118,-0.04477004872146161,-0.043782660046313926,-0.07438479495895489,-0.0726450136339446
8,2014-01-14,9.366666793823242,10.800000190734863,9.111332893371582,10.751333236694336,10.751333236694336,414105000,0.5820663774673862,69.9024245259856,66.74398031507934,9.98591533282265,9.995043676475799,9.934518496195475,9.934518496195475,0.1461629793068161,0.15738480245307973,0.0717781843478612,0.08473978881913513
9,2014-01-15,11.229999542236328,11.482000350952148,10.80666732788086,10.942000389099121,10.942000389099121,306984000,0.6032950541517328,72.56245928979527,69.27204765849936,10.023408864441336,10.013795294547547,10.03526668548584,10.03526668548584,0.017578862300124946,0.017734279852291923,0.08935704664798616,0.10247406867142705
10,2014-01-16,10.833333015441895,11.513333320617676,10.826666831970215,11.39799976348877,11.39799976348877,179391000,0.6152052590796939,77.99007929141592,74.30322902861414,10.077314389894177,10.041205284031532,10.159151510758834,10.159151510758834,0.04082924946078827,0.04167422392380238,0.1301862961087744,0.14414829259522943
11,2014-01-17,11.345999717712402,11.546667098999023,11.196666717529297,11.333999633789062,11.333999633789062,138093000,0.5773188479925556,75.54314279893367,72.50879163292495,10.126596164164566,10.066805172145541,10.257055521011353,10.257055521011353,-0.0056308552259701624,-0.005615031674655602,0.12455544088280425,0.13853326092057383
12,2014-01-21,11.416000366210938,11.81933307647705,11.387332916259766,11.778667449951172,11.778667449951172,146020500,0.5641780758061888,80.50194021966772,76.71619462141015,10.191383273411098,10.100703435072385,10.374102592468262,10.374102592468262,0.03848302668978481,0.039233088982679964,0.16303846757258905,0.1777663499032538
13,2014-01-22,11.854000091552734,12.021332740783691,11.650667190551758,11.904000282287598,11.904000282287598,105339000,0.5365334292955809,81.72068187809084,77.74983020340684,10.25854472473959,10.136412283532092,10.483380998883929,10.483380998883929,0.01058444967802887,0.010640663119913851,0.17362291725061793,0.18840701302316765
14,2014-01-23,11.815333366394043,12.158666610717773,11.561332702636719,12.100000381469727,12.100000381469727,118011000,0.5452192119792201,83.59187046985261,79.29761306132181,10.33075867206234,10.17529521616452,10.591155624389648,10.591155624389648,0.01633098232470702,0.016465061704825867,0.18995389957532494,0.20487207472799351
